cell_name,cell_type1,variables,measures
21o_spindle15aFI,von Economo neuron,Number of stems,-0.8649182695300075
22_VEN_rapid,von Economo neuron,Number of stems,1.0379019234360087
22o_pyramidal16aFI,von Economo neuron,Number of stems,0.08649182695300066
23_VEN_rapid,von Economo neuron,Number of stems,0.40362852578067004
23o_spindle16aFI,von Economo neuron,Number of stems,-0.8649182695300075
25o_spindle17aFI,von Economo neuron,Number of stems,-0.5477815707023381
26o_spindle18aFI,von Economo neuron,Number of stems,-0.8649182695300075
28o_spindle20aFI,von Economo neuron,Number of stems,-0.8649182695300075
28o_spindle21aFI,von Economo neuron,Number of stems,-0.8649182695300075
29o_spindle22aFI,von Economo neuron,Number of stems,-0.8649182695300075
30o_spindle23aFI,von Economo neuron,Number of stems,-0.5477815707023381
01_VEN_Cox,von Economo neuron,Average fragmentation,-0.11259657418980316
02_VEN_Cox,von Economo neuron,Average fragmentation,-0.6219497358069197
03_VEN_rapid,von Economo neuron,Average fragmentation,-0.5115499441686064
03a_spindle2aFI,von Economo neuron,Average fragmentation,-1.6454538910654841
03a_spindle6aFI,von Economo neuron,Average fragmentation,-0.43347632840144235
03b_pyramidal3aFI,von Economo neuron,Average fragmentation,0.31173845703066166
03b_spindle5aACC,von Economo neuron,Average fragmentation,-1.1078786537774221
03b_spindle6aACC,von Economo neuron,Average fragmentation,-1.6554345618837605
03b_spindle7aACC,von Economo neuron,Average fragmentation,0.7820008378525681
04_VEN_rapid,von Economo neuron,Average fragmentation,0.08200095958841427
04b_spindle3aFI,von Economo neuron,Average fragmentation,-0.0907915178920331
05_VEN_rapid,von Economo neuron,Average fragmentation,-0.37543026104242827
05b_spindle5aFI,von Economo neuron,Average fragmentation,1.0078594820458064
06_VEN_rapid,von Economo neuron,Average fragmentation,-0.533909122359092
06b_spindle8aACC,von Economo neuron,Average fragmentation,0.5472906361523147
07_VEN_rapid,von Economo neuron,Average fragmentation,-0.16574909756119907
07b_spindle9aACC,von Economo neuron,Average fragmentation,-0.32818597239725983
08_VEN_rapid,von Economo neuron,Average fragmentation,-0.36924856356395164
08a_spindle13aACC,von Economo neuron,Average fragmentation,2.940413555803115
09_VEN_rapid,von Economo neuron,Average fragmentation,-0.48767952445253265
09o_spindle7aFI,von Economo neuron,Average fragmentation,2.032143006148281
09o_spindle8aFI,von Economo neuron,Average fragmentation,1.6683295998335077
