file_name,Soma_surface,Soma_Surface$Total_sum,Surface$Total_sum,Volume$Total_sum,N_stems$Total_sum,N_bifs$Total_sum,N_branch$Total_sum,Width$Maximum,Height$Maximum,Depth$Maximum,Diameter$Average,EucDistance$Maximum,EucDistance$Total_sum,PathDistance$Maximum,PathDistance$Total_sum,Branch_Order$Maximum,Branch_Order$Average,Contraction$Average,Contraction$Maximum,Fragmentation$Average,Fragmentation$Maximum,Partition_asymmetry$Average,Pk_classic$Average,Pk_classic$Maximum,Bif_ampl_local$Average,Bif_ampl_local$Total_sum,Fractal_Dim$Total_sum,Fractal_Dim$Average,Bif_ampl_remote$Average,Bif_ampl_remote$Maximum,Length$Total_sum,Length$Average,Rall_Power$Average,cell_name,cell_type1,Soma_Width,Soma_Height
121-1-2.CNG.swc,24055.7,24055.7,8447.17,8675.67,8,30,68,176.39,368.27,93.18,0.712092,257.852,41189.5,297.665,47830.5,4,2.29095,0.915624,1,5.92754,23,0.442063,1.65277,2,61.6206,1787,44.0115,1.02352,52.4192,161.666,3739.35,9.16506,0.523333,121-1-2,pyramidal,127.77,95.93
121-1-3.CNG.swc,20285.8,20285.8,6974.35,8210.58,5,19,43,362.93,274.81,99.99,0.755199,308.889,29711.2,332.729,37185,4,2.59223,0.928382,1,7.02273,28,0.421053,1.70193,2,64.6235,1163.22,25.4084,1.01634,53.7797,110.592,2863.65,9.29758,0.361667,121-1-3,pyramidal,92.11,106.41
121-1-4.CNG.swc,37477.5,37477.5,8410,11088.7,7,32,71,316.76,388.43,101.95,0.656376,275.873,50011.1,295.786,60353.7,6,2.85865,0.893191,1,6.58333,27,0.45506,1.70838,2,60.0087,1860.27,41.0511,1.02628,55.3416,127.28,4204.56,8.88912,0.383,121-1-4,pyramidal,160.31,95.86
121-1-5.CNG.swc,21229.5,21229.5,9548.84,7692.97,7,26,59,387.48,359.62,96.66,0.716187,303.853,54029.9,351.091,65582,5,2.27273,0.90514,1,7.88333,33,0.34188,1.4916,2,62.8082,1570.21,30.6613,1.02204,56.9553,104.294,4293.65,9.09671,0.6125,121-1-5,pyramidal,62.29,92.19
121-1-6.CNG.swc,16794.3,16794.3,8155.24,6340.85,7,19,45,327.36,407.65,106.5,0.719486,291.237,44602.1,338.755,54315.1,3,1.94774,0.9162,1,9.15217,34,0.247368,1.57509,2,69.2565,1246.62,34.7147,1.02102,53.8842,87.8588,3738.33,8.90078,0.39375,121-1-6,pyramidal,153.36,76.14
121-1-7.CNG.swc,23247.2,23247.2,8759.16,7869.93,7,24,55,421.01,383.01,93.17,0.600969,323.229,66995.3,363.085,78717.4,4,2.3892,0.931891,1,9.58929,42,0.279167,1.62619,2,62.6216,1440.3,38.6463,1.01701,53.4808,101.706,4528.08,8.44791,0.455,121-1-7,pyramidal,95.24,91.28
121-1-8.CNG.swc,32060.4,32060.4,11050.4,11536,8,31,70,401.37,391.22,97.86,0.626986,279.516,73480.2,320.115,89665.1,4,2.35725,0.915215,1,9.02817,31,0.435484,1.58511,2,70.2516,2107.55,49.1154,1.02324,58.3415,109.176,5183.26,8.09884,0.410714,121-1-8,pyramidal,102.36,92.2
121-1-9.CNG.swc,17275.6,17275.6,5066.1,5634.75,4,16,36,357.32,234.86,108.17,0.700264,271.344,32944.1,315.96,39523.1,4,2.76949,0.921317,1,7.97297,31,0.28125,1.6533,2,67.6521,1014.78,25.4344,1.01737,60.4945,98.1502,2333.31,7.93641,0.401667,121-1-9,pyramidal,35.71,90.36
121-2-1.CNG.swc,16856.2,16856.2,7073.17,6928.18,9,15,39,392.64,245.86,103.47,0.887743,306.384,28673.4,341.725,35012.8,4,2.03819,0.911825,1,7.2,29,0.422222,1.33617,2,50.8515,711.921,20.5254,1.02627,58.6649,101.997,2758.39,9.61111,0.44,121-2-1,pyramidal,84.72,61.46
121-2-10.CNG.swc,23613.7,23613.7,8628.72,8373.96,6,20,46,287.73,405.99,98.93,0.639004,276.158,61394.9,337.591,76122.9,5,2.57082,0.909733,1,10.0638,33,0.543333,1.62606,2,54.8628,1042.39,27.6459,1.02392,55.6018,113.707,4145.36,8.78253,0.37875,121-2-10,pyramidal,136.9,44.96
